title,id,office,publish,expiry,type,status,url,sentence,province,year,cosine_score,topic
平顶山市文明行为促进条例,ZmY4MDgxODE3ZTliMWVjODAxN2VkM2QxMWYyODRmMzY%3D,平顶山市人民代表大会常务委员会,2021-12-28T00:00:00Z,2022-03-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgxODE3ZTliMWVjODAxN2VkM2QxMWYyODRmMzY%3D,（一）文明就医，遵守诊疗服务制度；,河南省,2021,0.472483137569296,public_health
运城市文明行为促进条例,ZmY4MDgwODE3N2U3NTdhYzAxNzgwMThjYTkyNzFlMzE%3D,运城市人民代表大会常务委员会,2020-12-10T00:00:00Z,2021-01-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE3N2U3NTdhYzAxNzgwMThjYTkyNzFlMzE%3D,（一）文明就医，遵守诊疗服务制度；,山西省,2020,0.472483137569296,public_health
武威市文明行为促进条例,ZmY4MDgxODE4NDQyMzBlYzAxODQ2NDc4YWJkNjdjNjM%3D,武威市人民代表大会常务委员会,2022-09-27T00:00:00Z,2022-11-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgxODE4NDQyMzBlYzAxODQ2NDc4YWJkNjdjNjM%3D,（三）遵守医疗秩序，文明就医，医患相互尊重；,甘肃省,2022,0.471405906049019,public_health
日照市文明行为促进条例,MmM5MGU1YmI2ODFjZTEyODAxNjg2MDAwZTg2YjEyZmM%3D,日照市人民代表大会常务委员会,2018-12-03T00:00:00Z,2019-01-01T00:00:00Z,地方性法规,1,./detail2.html?MmM5MGU1YmI2ODFjZTEyODAxNjg2MDAwZTg2YjEyZmM%3D,（十一）文明就医，尊重医学规律和医务人员，维护正常医疗秩序；,山东省,2018,0.469568646232631,public_health
南昌市文明行为促进条例,MmM5MGU1YmI2NWM2OGNmZDAxNjczNDM4Y2UyMjE2YjA%3D,南昌市人民代表大会常务委员会,2018-10-26T00:00:00Z,2019-01-01T00:00:00Z,地方性法规,1,./detail2.html?MmM5MGU1YmI2NWM2OGNmZDAxNjczNDM4Y2UyMjE2YjA%3D,第十八条  公民应当文明就医，尊重医务人员，配合开展诊疗活动，不得影响医疗机构正常秩序。,江西省,2018,0.46931455902144,public_health
江门市文明行为促进条例,ZmY4MDgwODE3N2U3NWY4ODAxNzhmZGMxYjE3NTUzOTI%3D,江门市人民代表大会常务委员会,2021-04-06T00:00:00Z,2021-05-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE3N2U3NWY4ODAxNzhmZGMxYjE3NTUzOTI%3D,（一）文明就医，尊重医务人员，遵守各项诊疗服务制度。,广东省,2021,0.467462058533243,public_health
海南省文明行为促进条例,ZmY4MDgwODE3NTJiN2Q0MzAxNzU2OTg3YzI4YzNhYjI%3D,海南省人民代表大会常务委员会,2020-09-30T00:00:00Z,2021-01-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE3NTJiN2Q0MzAxNzU2OTg3YzI4YzNhYjI%3D,第十七条 公民应当文明就医，遵守下列规定：（一）尊重医学规律和医务人员，遵守诊疗服务制度，配合开展诊疗活动；（二）尊重他人隐私，保持就诊距离，不影响医务人员为他人诊疗；（三）通过合法途径处理医疗纠纷，不在医疗场所聚众闹事。,海南省,2020,0.463563104439845,public_health
晋中市文明行为促进条例,ZmY4MDgwODE2ZmJjNTdjMTAxNzEwNjczNTUwNTc4NmM%3D,晋中市人民代表大会常务委员会,2019-12-03T00:00:00Z,2020-01-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE2ZmJjNTdjMTAxNzEwNjczNTUwNTc4NmM%3D,（五）文明就医，尊重医务人员，维护正常医疗秩序；,山西省,2019,0.463056068534042,public_health
福州市文明行为促进条例,ZmY4MDgwODE3MzZiYjE5ZDAxNzQyNGUxZWEzMzc0ODE%3D,福州市人民代表大会常务委员会,2020-07-31T00:00:00Z,2020-10-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE3MzZiYjE5ZDAxNzQyNGUxZWEzMzc0ODE%3D,（九）尊重医学规律和医务人员，增强公共卫生安全意识，维护正常医疗秩序，依法处理医疗纠纷；,福建省,2020,0.462801084256518,public_health
吐鲁番市文明行为促进条例,ZmY4MDgwODE3MTM5MjdkMTAxNzFiNTkwNjlmNzE1MmQ%3D,吐鲁番市人民代表大会常务委员会,2020-04-22T00:00:00Z,2020-06-01T00:00:00Z,地方性法规,1,./detail2.html?ZmY4MDgwODE3MTM5MjdkMTAxNzFiNTkwNjlmNzE1MmQ%3D,公民应当文明就医，尊重医护人员，配合开展诊疗活动，通过合法途径解决医疗纠纷。,新疆维吾尔自治区,2020,0.462296927739211,public_health
